Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1999:Q4,RemainingTop1,6811326,7085742,955143,268864,2558325,363421,402829,1236307,1300853,274416,196479,16851,61086
1999:Q4,Next9,14751122,15898779,3070542,613476,3736902,3158105,1415401,1493147,2411206,1147656,855066,129472,163118
1999:Q4,Next40,13578410,16402238,5169483,1278708,1794652,3175947,1658496,849418,2475535,2823828,2132417,575175,116236
1999:Q4,Bottom50,1294982,3421980,1661666,682313,152619,195068,230900,80298,419116,2126997,1227492,829193,70312
2000:Q1,TopPt1,4589489,4642121,348811,144462,2015691,31694,49954,967539,1083970,52633,22733,2422,27478
2000:Q1,RemainingTop1,7028430,7309743,997954,285632,2681932,379085,413196,1248297,1303647,281313,199524,16585,65204
2000:Q1,Next9,15153339,16333208,3177607,621230,3971965,3194090,1482963,1473035,2412318,1179869,875395,123190,181284
2000:Q1,Next40,13986602,16863328,5378739,1300885,1899875,3232700,1711294,852519,2487316,2876725,2171930,579522,125273
2000:Q1,Bottom50,1339438,3478180,1687486,695711,158477,194679,237779,78620,425428,2138742,1227149,832046,79547
2000:Q2,TopPt1,4467837,4516557,368343,144251,1862281,32034,48225,1017962,1043460,48720,22298,2423,23999
2000:Q2,RemainingTop1,6997775,7285798,1050631,301702,2546938,393602,407416,1295404,1290104,288023,205653,17040,65330
2000:Q2,Next9,15155913,16352622,3313111,626204,3803879,3218048,1470669,1524425,2396286,1196709,898814,123630,174265
2000:Q2,Next40,14132448,17089391,5581383,1322985,1853038,3281352,1686334,874614,2489685,2956943,2229562,604721,122660
2000:Q2,Bottom50,1343549,3520678,1726110,709565,151023,193947,235773,76327,427932,2177129,1252778,853957,70394
2000:Q3,TopPt1,4474708,4520227,379951,130382,1805777,32228,47556,1074398,1049935,45519,21907,2664,20948
2000:Q3,RemainingTop1,7096701,7392292,1088484,320150,2517797,409022,409292,1346082,1301464,295591,211513,17332,66746
2000:Q3,Next9,15347761,16575722,3390142,639957,3798647,3250019,1499202,1582533,2415222,1227961,923300,126631,178030
2000:Q3,Next40,14385989,17436290,5790609,1339741,1866657,3335874,1698818,898901,2505690,3050301,2287708,638769,123824
2000:Q3,Bottom50,1368648,3596686,1792158,717944,149043,193447,237834,74119,432141,2228038,1277384,881677,68977
2000:Q4,TopPt1,4296935,4338650,393183,138866,1505548,32685,44729,1090948,1132691,41716,21113,2981,17622
2000:Q4,RemainingTop1,6947095,7250551,1143679,334264,2206850,423160,393385,1378415,1370798,303456,218964,17919,66573
2000:Q4,Next9,15135333,16367190,3530851,635988,3353710,3268748,1437611,1603977,2536304,1231857,938445,130762,162650
2000:Q4,Next40,14427861,17562586,5978651,1360261,1707950,3381537,1626342,913445,2594399,3134725,2337613,676570,120542
2000:Q4,Bottom50,1322180,3589628,1787731,732377,132372,192570,230164,72314,442100,2267448,1300648,913034,53766
2001:Q1,TopPt1,4160485,4196306,417291,140267,1269804,32946,40306,1093433,1202258,35820,20287,2391,13142
2001:Q1,RemainingTop1,6856145,7165486,1223539,349578,1959255,438498,365836,1403978,1424802,309341,226153,18690,64498
2001:Q1,Next9,14983448,16208329,3731726,636056,3004935,3298599,1338972,1612394,2585647,1224880,951935,124528,148417
2001:Q1,Next40,14646826,17826963,6349561,1377291,1580472,3435307,1503606,924475,2656251,3180137,2383735,682846,113556
2001:Q1,Bottom50,1336427,3616119,1815618,743557,118861,192017,215603,70670,459793,2279692,1319249,921270,39173
2001:Q2,TopPt1,4270814,4302314,429732,134228,1370298,29791,40851,1119359,1178056,31500,19407,2017,10076
2001:Q2,RemainingTop1,7076187,7399139,1269660,366068,2106272,423503,376718,1440874,1416045,322952,236877,20473,65602
2001:Q2,Next9,15493390,16740575,3827243,639232,3269298,3366452,1399509,1643345,2595496,1247185,973835,121925,151425
2001:Q2,Next40,15049454,18321689,6540904,1388925,1698651,3512414,1557366,941916,2681512,3272235,2458420,698733,115082
2001:Q2,Bottom50,1335674,3687583,1857826,750342,126223,193232,222758,68936,468267,2351909,1373662,941102,37145
2001:Q3,TopPt1,4041966,4072943,440755,122330,1062468,26896,36259,1133091,1251144,30978,19562,1777,9639
2001:Q3,RemainingTop1,6804572,7138645,1311063,383768,1757959,406810,347300,1471697,1460047,334073,241028,20543,72502
2001:Q3,Next9,15072500,16386678,3897190,648088,2758091,3420984,1297037,1662787,2702501,1314178,1013055,118917,182206
2001:Q3,Next40,14979741,18360803,6735560,1400925,1497767,3580797,1429161,956265,2760328,3381062,2533119,717541,130402
2001:Q3,Bottom50,1314540,3729420,1918729,756249,107275,194064,206894,67340,478869,2414880,1403738,955573,55569
2001:Q4,TopPt1,4248101,4277718,450595,140613,1267111,27247,38331,1091888,1261934,29616,19246,2747,7623
2001:Q4,RemainingTop1,7138368,7492897,1371479,374188,2006017,393791,358645,1485954,1502823,354529,258944,22940,72645
2001:Q4,Next9,15710182,16987995,3989329,659518,3103910,3516970,1370966,1625500,2721801,1277813,994869,131673,151271
2001:Q4,Next40,15365734,18827301,6906847,1423552,1633831,3626226,1499811,968799,2768235,3461567,2604374,744800,112393
2001:Q4,Bottom50,1301827,3773241,1932201,766429,116473,196115,213021,69190,479811,2471414,1447503,989668,34243
2002:Q1,TopPt1,4273636,4305868,462330,159674,1291430,28049,40544,1087559,1236282,32232,21351,2921,7960
2002:Q1,RemainingTop1,7248279,7612537,1434988,363977,2031835,378265,366611,1518627,1518234,364258,263621,22483,78154
2002:Q1,Next9,15953635,17256887,4110583,664502,3100045,3590665,1416004,1623526,2751562,1303252,1023598,131859,147795
2002:Q1,Next40,15588726,19130023,7074229,1438004,1623729,3656295,1552475,991671,2793620,3541297,2694455,739534,107308
2002:Q1,Bottom50,1318269,3797639,1945690,772137,113628,197536,217595,70856,480197,2479370,1459384,986718,33268
2002:Q2,TopPt1,4158682,4192340,477385,179823,1151075,28988,37906,1089069,1228094,33658,23334,3589,6735
2002:Q2,RemainingTop1,7143153,7516779,1498309,353851,1857106,361951,339756,1554267,1551539,373627,270582,22503,80542
2002:Q2,Next9,15767083,17095054,4240472,671577,2784542,3658783,1332734,1626980,2779966,1327970,1055261,138413,134296
2002:Q2,Next40,15453751,19102543,7198226,1457098,1486421,3682508,1450702,1016352,2811235,3648791,2798839,753074,96878
2002:Q2,Bottom50,1283222,3799113,1968237,780640,100383,198802,202058,72512,476481,2515892,1491112,1000065,24715
2002:Q3,TopPt1,3941824,3977420,490440,182501,893531,29928,34861,1103450,1242709,35595,24714,4092,6789
2002:Q3,RemainingTop1,6884263,7275638,1549524,347463,1533216,345587,310121,1596479,1593247,391374,281976,23652,85746
2002:Q3,Next9,15347010,16695418,4305004,695944,2242224,3728412,1241539,1642742,2839554,1348408,1077691,144514,126203
2002:Q3,Next40,15285116,19046254,7360868,1477909,1252528,3709727,1337870,1044813,2862539,3761138,2907826,763241,90071
2002:Q3,Bottom50,1270216,3848058,2043173,786967,79704,200116,184891,74118,479089,2577842,1541413,1016109,20320
2002:Q4,TopPt1,4024792,4062182,501540,186842,984194,30552,36081,1029253,1293720,37390,26226,4760,6404
2002:Q4,RemainingTop1,7072436,7479822,1600808,340384,1642352,330956,317864,1593843,1653614,407386,292739,24581,90066
2002:Q4,Next9,15661946,17039315,4370972,715124,2363465,3816520,1314522,1571958,2886753,1377369,1102933,152354,122082
2002:Q4,Next40,15540118,19422197,7540005,1493318,1296670,3749714,1395501,1048616,2898373,3882080,3018697,779472,83911
2002:Q4,Bottom50,1276631,3921987,2102473,790515,80873,201964,188943,76228,480991,2645357,1590531,1035840,18986
2003:Q1,TopPt1,3994523,4034319,512949,207688,929784,31716,36246,1049022,1266914,39796,27562,4711,7523
2003:Q1,RemainingTop1,7070068,7496883,1666071,329470,1569865,313246,314713,1638963,1664555,426815,303615,25627,97573
2003:Q1,Next9,15766482,17166569,4499933,715356,2205984,3876979,1334893,1592506,2940918,1400087,1121968,151948,126171
2003:Q1,Next40,15660591,19632970,7706632,1503210,1223601,3770324,1402581,1078896,2947726,3972379,3120270,770087,82022
2003:Q1,Bottom50,1234528,3927113,2105687,793858,72828,203009,186966,77840,486925,2692586,1631918,1036750,23918
2003:Q2,TopPt1,4311751,4357146,526532,221042,1172996,32623,39798,1077811,1286345,45396,29555,5181,10660
2003:Q2,RemainingTop1,7462672,7912132,1726711,320547,1862556,296934,339226,1688843,1677315,449460,314211,26660,108589
2003:Q2,Next9,16529637,18012708,4613083,726443,2598835,3952541,1471743,1621709,3028355,1483071,1163369,157682,162020
2003:Q2,Next40,16090415,20219735,7878751,1518899,1375865,3801269,1535278,1111882,2997791,4129320,3256430,780052,92838
2003:Q2,Bottom50,1199229,4004355,2150863,799127,82162,204486,200762,79416,487539,2805126,1699934,1052355,52837
2003:Q3,TopPt1,4410315,4457856,540741,223394,1282795,33673,40620,1096838,1239795,47542,32096,5867,9579
2003:Q3,RemainingTop1,7664431,8123406,1780618,314249,1987753,279753,341851,1733934,1685248,458975,320762,26672,111541
2003:Q3,Next9,16878803,18405478,4694036,750259,2734436,4021473,1519331,1641206,3044737,1526675,1214309,164610,147756
